name,address,location-bd,location-gd,pname-gd,cname-gd,dname-gd,vname-gd,adrress-gd,status,fitler,fitler-grade,location
人民同泰康泰永安分店,黑龙江省哈尔滨市道里区群力大道10号,126.36841846875294,45.68613924393256,,,,,,,,,
哈尔滨健康医药连锁有限公司红专分店,黑龙江省哈尔滨市道里区道里区红专街55号,126.62316487194,45.779153136297,,,,,,,,,
哈尔滨健康医药连锁有限公司为民分店,黑龙江省哈尔滨市道里区道里区上游街106号,126.61971240279,45.781462748995,,,,,,,,,
哈尔滨健康医药连锁有限公司顾乡分店,黑龙江省哈尔滨市道里区道里区美晨家园玫瑰园2号楼商服1,126.58618086605395,45.7400700962255,,,,,,,,,
哈尔滨健康医药连锁有限公司安定分店,黑龙江省哈尔滨市道里区道里区安定街4号,126.61981610841275,45.77305694611813,,,,,,,,,
哈尔滨健康医药连锁有限公司道里分店,黑龙江省哈尔滨市道里区道里区尚志大街32号,126.63148975863498,45.771100342921045,,,,,,,,,
哈尔滨健康医药连锁有限公司新阳分店,黑龙江省哈尔滨市道里区哈尔滨市道里区新阳路67号,126.62426774107,45.769175825709,,,,,,,,,
哈尔滨健康医药连锁有限公司松源分店,黑龙江省哈尔滨市道里区道里区松街副80号,126.59928638653,45.754688754473,,,,,,,,,
哈尔滨健康医药连锁有限公司华兴分店,黑龙江省哈尔滨市道里区道里区美晨家园丁香园2栋商服18号,126.58552603428,45.741157917758,,,,,,,,,
哈尔滨健康医药连锁有限公司瑞祥分店,黑龙江省哈尔滨市道里区道里友谊路62号,126.63082997441,45.78552410857,,,,,,,,,
  黑龙江省亿隆大药房连锁有限公司地段店,黑龙江省哈尔滨市道里区道里区地段街93号,126.6357476624,45.775058460003,,,,,,,,,
哈尔滨健康医药连锁有限公司市直分店,黑龙江省哈尔滨市道里区市直机关职工住宅小区商服31号楼2单元2号,126.60047104699,45.75882368421,,,,,,,,,
哈尔滨恒瑞新药特药连锁有限公司麦凯乐店,黑龙江省哈尔滨市道里区道里区顾乡凯德购物广场,126.5999369548,45.742246070259,,,,,,,,,
哈尔滨华伟康健大药房连锁有限公司群力店,黑龙江省哈尔滨市道里区群力工农大街567号,126.57636192899,45.7302258034,,,,,,,,,
哈尔滨华伟康健大药房连锁有限公司索菲亚店,黑龙江省哈尔滨市道里区哈尔滨道里区达道街68-1号,126.60002293885,45.761199717824,,,,,,,,,
海联大药房,赣水路222号,126.56396853888,45.723242323234,,,,,,,,,
启康百姓医药连锁有限公司康福店,哈尔滨市道里区康安小区16栋2单位1层1,126.59628150123723,45.74779358457906,,,,,,,,,
哈尔滨市福天大药房有限公司,道里区河松街217号,126.58871539237,45.752686993972,,,,,,,,,
哈尔滨鹤年堂大药房有限公司,道里区机场路582号,126.49283478851,45.674929962697,,,,,,,,,
哈尔滨嘉泽大药房有限公司,道里区安道街57号,126.62291730363654,45.7721137317202,,,,,,,,,
哈尔滨老百姓大药房有限公司安和店,地段街182号,126.63285197091,45.781496492389,,,,,,,,,
黑龙江东生林大药房有限公司,哈尔滨市道里区哈双北路280号202栋4号商服,126.5290725615,45.722969404518,,,,,,,,,
哈尔滨宁泰药店有限公司,哈市道里区新阳路355号紫金城小区I2栋1一2,126.60280655475,45.746076794959,,,,,,,,,
哈尔滨盛合大药房有限公司,哈市道里区经纬八道街21号,126.61819082841981,45.77589565053431,,,,,,,,,
哈尔滨一好大药房有限公司,道里区高谊街12号,126.62015988319,45.776723361484,,,,,,,,,
  哈尔滨宝丰医药连锁有限公司建国店,黑龙江省哈尔滨市道里区道里区建国街112号,126.60959472718,45.757410157735,,,,,,,,,
哈尔滨市恒发大药房有限公司,哈尔滨市道里区群力新区天鹅湾小区14栋一层二号,126.57955462838,45.742401746856,,,,,,,,,
哈尔滨市康新广信大药房有限公司,道里区天合俊景6号楼3号门市,126.6009821324717,45.73782391522969,,,,,,,,,
哈尔滨市万泽源大药房有限公司,哈市道里区安顺街53号,126.62533818294,45.770036352563,,,,,,,,,
哈尔滨鹿恩堂大药房有限公司建国分店,哈市道里区建国北六道衔56号-,126.36841846875,45.686139243933,,,,,,,,,
测试非法字符店11,黑龙江省哈尔滨市道里区,126.36841846875,45.686139243933,,,,,,,,,
哈尔滨市环宇大药房有限公司,哈市道里区海富康城B栋4号,126.58789426893,45.743891520756,,,,,,,,,
哈尔滨国仁大药房有限公司世纪联华店,哈市道里区顾乡大街85号,126.5932462896,45.743744751724,,,,,,,,,
哈尔滨市顺心堂大药房有限公司,哈市道里区河阳街18号,126.60787443576112,45.76103595403705,,,,,,,,,
哈尔滨老百姓大药房安升分店,道里区安升街11号,126.62160948225,45.766366186681,,,,,,,,,
哈尔滨老百姓大药房有限公司高谊店,道里区高谊街,126.61987956798782,45.77648571020261,,,,,,,,,
哈尔滨宜邦大药房有限公司,哈尔滨市道理区安升亍41号,126.62162695411,45.766322545035,,,,,,,,,
哈尔滨群利大药房,哈市道里区群力家园B5栋,126.54459003070576,45.7188947518343,,,,,,,,,
哈尔滨鑫龙康大药房有限公司,哈市道里区友谊路58号,126.63035072100831,45.785576910415585,,,,,,,,,
启康百姓医药连锁顾乡店,哈市道里区天河街57号,126.59728626473,45.738043830249,,,,,,,,,
哈尔滨市百年红大药房顾乡店,哈尔滨市道里区顾乡大街51号,126.59710813837404,45.74535950783276,,,,,,,,,
哈尔滨圣隆堂大药房有限公司,哈尔滨市道里区经纬街320号,126.61357660724,45.778448465068,,,,,,,,,
哈尔滨鸿达大药房有限公司,哈市河广街53号,126.60825638214,45.759711766589,,,,,,,,,
哈尔滨康泰大药房有限公司,道理区抚利街78,126.62513986246472,45.75785496827548,,,,,,,,,
哈尔滨善亿堂大药房有限公司,群力兴江路596号,126.56959589268,45.730464051974,,,,,,,,,
哈尔滨市老君堂中西药房,哈尔滨市道里区顾乡大街73号,126.59426810999,45.743557065063,,,,,,,,,
aaaaaaaa测试黑龙江,建设街,126.36841846875,45.686139243933,,,,,,,,,
康云药店,道里区友谊路51号,126.63234506766,45.785867200106,,,,,,,,,
黑龙江启康百姓医药连锁有限公司满意店,安阳路41号,126.59191227939914,45.746256521578864,,,,,,,,,
黑龙江省鸿宇大药房医药有限公司,哈市道里区松树28号,126.36841846875,45.686139243933,,,,,,,,,
哈尔滨源丰大药房有限公司,哈尔滨市道里区四方台大道2846号,126.53012575984,45.723226776498,,,,,,,,,
哈尔滨朗泰大药房有限公司,哈尔滨市道里区45号,126.61899551192107,45.77854490725437,,,,,,,,,
哈尔滨宏达大药房有限公司,哈尔滨市道理区康安路88号,126.59832076607,45.747141505704,,,,,,,,,
  哈尔滨宝丰医药连锁有限公司康宝店,黑龙江省哈尔滨市道里区道里区民安街201号,126.61634131036,45.75124899491,,,,,,,,,
哈尔滨百年红大药房有限公司新阳店,黑龙江省哈尔滨市道里区新阳路91号,126.62288520527,45.766320471376,,,,,,,,,
哈尔滨市佰盛大药房有限公司,哈尔滨市道里区新阳路773-4号,126.6032222044953,45.74756165924973,,,,,,,,,
黑龙江龙卫中新医药有限公司长兴药店,道里区钢铁街45号,126.59948893168678,45.75058828027363,,,,,,,,,
哈尔滨市鹏瑞大药房有限公司,哈市道里区森林街31-3号,126.63244174653,45.782262617996,,,,,,,,,
哈尔滨市道里区宏泰药店,temg,126.61773645602,45.749922669778,,,,,,,,,
哈尔滨瑞年大药房有限公司,哈市道里区抚顺街147号1层,126.62741578446,45.764000559018,,,,,,,,,
黑龙江省启康百姓医药连锁金地大药房,temg,126.49503163836,45.672498357277,,,,,,,,,
哈尔滨共乐大药房有限公司,哈市道里区哈药路194,126.60949398189467,45.75874069453975,,,,,,,,,
黑龙江省鸿宇大药房医药有限公司河梁店,哈市道里区河梁街44号,126.36841846875,45.686139243933,,,,,,,,,
哈尔滨老百姓大药房有限公司,道里区通江街27_4号,126.62245433953967,45.776813269945734,,,,,,,,,
test_00001,黑龙江省哈尔滨市道里区123,126.805152,45.681933,,,,,,,,,
时代感好几个,电饭锅黑杰克,126.805152,45.681933,,,,,,,,,
监察部测试,temg,126.36841846875,45.686139243933,,,,,,,,,
哈尔滨天心大药房有限公司,哈市中医街103一2号,126.61786170579,45.780018382299,,,,,,,,,
测试黑龙江8655366,我刚装饰被偷了,126.36841846875,45.686139243933,,,,,,,,,
哈尔滨市鉴铵大药房有限公司,哈市道里区群力第七大道玫瑰湾小区D19座1层9号,126.52009053011,45.727677450536,,,,,,,,,
哈尔滨市道里区盛鸣大药房,哈市道里区新亭街68号1一2层,126.58993742684,45.746480844505,,,,,,,,,
哈尔滨安康百姓大药房有限公司,安升街110号,126.62116248424445,45.76679172791536,,,,,,,,,
黑龙江启康百姓医药连锁有限公司胜奇药店,哈市道里区工农大街663号,126.56980752767413,45.72685096479743,,,,,,,,,
测试18846442744,道里区安生街,126.36841846875,45.686139243933,,,,,,,,,
哈尔滨城美大药房有限公司,道里区新阳路508-9号2单元1层3号,126.60907762517064,45.74861475674849,,,,,,,,,
哈尔滨泽济堂大药房有限公司,哈市道里区哈双北路202号宜居家园小区205栋5号商服,126.53233415876,45.723797495957,,,,,,,,,
测试,158,126.65771685545,45.773224633239,,,,,,,,,
金天诚大药房龙腾分店,哈尔滨市道里区安和街87号,126.61694949955313,45.76282781732763,,,,,,,,,
康仁堂,民庆街27-9,126.6103779090326,45.75060005415124,,,,,,,,,
哈尔滨市燎原大药房有限公司,道里区大民兴街副5号,126.624190281712,45.756222170102745,,,,,,,,,
黑龙江启康百姓医药连锁有限公司欧洲新城店,哈市道里区新阳路504号欧洲新城巴塞罗纳c座,126.6109434877,45.747498160683,,,,,,,,,
启康宏宇大药房,0,126.61788558487,45.77773020875,,,,,,,,,
哈尔滨美晟大药房有限公司,哈尔滨市道里区安阳路23号,126.59260612916734,45.74719958567985,,,,,,,,,
哈尔滨宝盈大药房有限责任公司,道里区通达街245号,126.61681950141309,45.75053613531215,,,,,,,,,
哈尔滨大德堂医药商店有限公司,哈市地段街126号,126.6354828833,45.775756279365,,,,,,,,,
哈尔滨顺晟大药房有限公司,哈尔滨市道里区安顺街68号,126.62464114225,45.770217772887,,,,,,,,,
哈尔滨市正元堂大药房,道理区安心街18号,126.62368107661462,45.7605325028755,,,,,,,,,
哈尔滨万宁大药房有限公司,哈市道里区哈双北路268号,126.52788874188832,45.72315996134763,,,,,,,,,
哈尔滨同盛药店有限公司,哈市道里区地段街55号,126.63574967598,45.773576941573,,,,,,,,,
哈尔滨康泰馨大药房安松店,道里区安国街副73号,126.61874767275,45.76931768969,,,,,,,,,
黑龙江省瑞泽医药有限公司瑞泽大药房,哈市道里区哈药路239号,126.60925643473752,45.758734011972585,,,,,,,,,
启康达康药店,康安路93号,126.6033282174,45.748811500251,,,,,,,,,
黑龙江启康百姓医药连锁有限公司福同大药房,哈市道里区福同街33号,126.61765479253177,45.75863467627484,,,,,,,,,
哈尔滨鑫博大药房有限公司,哈市道理上游街,126.61840814469,45.781145912401,,,,,,,,,
哈尔滨康康大药房有限公司,道里区新城小区安居街7号,126.56914305426,45.727249803524,,,,,,,,,
